longitude_deg,latitude_deg,name
-100.49600219726562,31.35770034790039,San Angelo Regional Mathis Field
-100.53500366210938,28.627399444580078,Piedras Negras International Airport
-100.5479965,42.85779953,Miller Field
-100.5920029,40.20629883,Mc Cook Ben Nelson Regional Airport
-100.6490020752,30.585699081421,Sonora Municipal Airport
-100.6839981,41.12620163,North Platte Regional Airport Lee Bird Field
-100.723999023,37.9275016785,Garden City Regional Airport
-100.74600219726562,46.772701263427734,Bismarck Municipal Airport
-100.777999878,29.359500885,Laughlin Air Force Base
-100.88700103759766,20.54599952697754,Captain Rogelio Castillo National Airport
-100.917999268,49.8782997131,Virden/R.J. (Bob) Andrew Field Regional Aerodrome
-100.927001953,29.3742008209,Del Rio International Airport
-100.92900085449219,25.54949951171875,Plan De Guadalupe International Airport
-100.930999756,22.254299163800003,Ponciano Arriaga International Airport
